onset	duration	TRIALTYPE	DELTAVALUE	RESPONSE_TIME	MEAN_VALUE	VALUE_RIGHT	VALUE_LEFT	CHOSE_RIGHT
2.016796	1.457	FoodChoice	-0.3799999999999999	1.326962	1.8366669999999998	1.6466669999999999	2.0266669999999998	0.0
7.016797	1.457	FoodChoice	0.0	1.2709620000000001	0.06	0.06	0.06	0.0
16.5168	1.457	FoodChoice	0.0066669999999997565	0.762968	2.9566665	2.96	2.953333	1.0
25.01683	1.457	FoodChoice	0.07333399999999957	0.885933	1.99	2.0266669999999998	1.9533330000000002	1.0
29.01687	1.457	FoodChoice	0.0066669999999997565	1.3668930000000001	2.9366665000000003	2.94	2.933333	0.0
39.01676	1.457	FoodChoice	0.006666999999999992	0.7950010000000001	0.0766665	0.08	0.07333300000000001	1.0
43.51672	1.457	FoodChoice	-0.026666999999999996	1.14703	0.0733335	0.06	0.086667	0.0
49.51677	1.457	FoodChoice	-2.8	0.773993	1.5666669999999998	0.166667	2.9666669999999997	0.0
54.0168	1.457	FoodChoice	2.813333	0.948961	1.5466665000000002	2.953333	0.14	1.0
58.016709999999996	1.457	FoodChoice	-1.5199999999999998	0.7300439999999999	0.886667	0.126667	1.6466669999999999	0.0
62.0168	1.457	FoodChoice	0.013332999999999998	1.013951	0.0533335	0.06	0.046667	0.0
66.0168	1.457	FoodChoice	-1.9666669999999997	0.676964	1.0433335	0.06	2.0266669999999998	0.0
70.0168	1.457	FoodChoice	-0.13333299999999992	1.332962	1.0866665	1.02	1.153333	0.0
75.5168	1.457	FoodChoice	0.013333000000000261	1.014961	2.9333335	2.94	2.9266669999999997	0.0
79.5168	1.457	FoodChoice	-0.013334000000000013	1.0159610000000001	0.1	0.093333	0.10666700000000001	0.0
83.5168	1.457	FoodChoice	0.0	0.785954	2.94	2.94	2.94	0.0
92.51675999999999	1.457	FoodChoice	0.026667000000000024	0.6979989999999999	0.12666650000000002	0.14	0.11333299999999999	1.0
98.0168	1.457	FoodChoice	-0.026666999999999996	1.087969	0.0666665	0.053333000000000005	0.08	0.0
102.5168	1.457	FoodChoice	-0.17333299999999996	0.581958	0.2266665	0.14	0.313333	1.0
108.0168	1.457	FoodChoice	0.013333000000000261	1.082963	2.9466665	2.953333	2.94	1.0
114.0168	1.457	FoodChoice	-0.45999999999999996	0.9259719999999999	2.71	2.48	2.94	0.0
119.0168	1.457	FoodChoice	0.0	0.589957	2.94	2.94	2.94	1.0
124.0168	1.457	FoodChoice	1.813333	0.7099850000000001	1.0466665000000002	1.9533330000000002	0.14	1.0
128.0168	1.457	FoodChoice	-0.1133329999999999	0.661972	1.0966665	1.04	1.153333	0.0
133.0168	1.457	FoodChoice	-0.013332999999999998	0.548967	0.08666650000000001	0.08	0.093333	1.0
137.0167	1.457	FoodChoice	0.0	1.476049	2.9466669999999997	2.9466669999999997	2.9466669999999997	0.0
143.0167	1.457	FoodChoice	-0.013333999999999513	1.9110770000000001	2.96	2.953333	2.9666669999999997	1.0
149.5167	1.457	FoodChoice	0.29333299999999995	1.016039	0.1666665	0.313333	0.02	0.0
156.0169	1.457	FoodChoice	0.006666999999999992	0.796862	0.0833335	0.086667	0.08	1.0
166.5168	1.457	FoodChoice	0.026666999999999996	1.033004	0.1533335	0.166667	0.14	0.0
180.0169	1.457	FoodChoice	0.0	0.8008810000000001	2.953333	2.953333	2.953333	0.0
185.5169	1.457	FoodChoice	0.006666999999999992	0.6998949999999999	0.06333349999999999	0.06666699999999999	0.06	1.0
190.0167	1.457	FoodChoice	-0.006666000000000005	1.108012	0.09	0.086667	0.093333	0.0
196.5169	1.457	FoodChoice	0.006666000000000005	0.9138930000000001	0.09	0.093333	0.086667	0.0
202.0168	1.457	FoodChoice	-0.22666599999999998	0.896962	0.19999999999999998	0.086667	0.313333	0.0
207.0168	1.457	FoodChoice	0.0	0.814963	2.0266669999999998	2.0266669999999998	2.0266669999999998	1.0
211.0168	1.457	FoodChoice	1.5999999999999999	0.5929989999999999	0.846667	1.6466669999999999	0.046667	1.0
219.5169	1.457	FoodChoice	-0.013332999999999998	1.081892	0.0533335	0.046667	0.06	0.0
224.0167	1.457	FoodChoice	0.006666000000000005	0.783039	0.05	0.053333000000000005	0.046667	1.0
230.5168	1.457	FoodChoice	0.013333000000000012	0.6379640000000001	0.0666665	0.07333300000000001	0.06	1.0
236.5168	1.457	FoodChoice	-0.45999999999999996	0.960918	2.71	2.48	2.94	0.0
241.5169	1.457	FoodChoice	0.006666999999999992	0.64788	0.06333349999999999	0.06666699999999999	0.06	1.0
245.5168	1.457	FoodChoice	0.0	0.845982	0.06	0.06	0.06	1.0
250.0167	1.457	FoodChoice	0.98	1.050023	0.53	1.02	0.04	1.0
260.0168	1.457	FoodChoice	-0.013333000000000012	0.744987	0.0933335	0.086667	0.1	1.0
266.5167	1.457	FoodChoice	0.0	1.30606	2.953333	2.953333	2.953333	1.0
272.0167	1.457	FoodChoice	0.0066669999999997565	1.425103	2.9433334999999996	2.9466669999999997	2.94	0.0
283.0168	1.457	FoodChoice	0.933333	1.432964	0.5733335	1.04	0.10666700000000001	1.0
289.0167	1.457	FoodChoice	0.006666000000000505	1.189042	2.95	2.953333	2.9466669999999997	0.0
295.0168	1.457	FoodChoice	-0.013333999999999513	0.745963	2.96	2.953333	2.9666669999999997	0.0
299.5168	1.457	FoodChoice	2.86	0.56399	1.5166669999999998	2.9466669999999997	0.086667	1.0
304.5167	1.457	FoodChoice	0.6266669999999999	1.5900290000000001	2.6133334999999995	2.9266669999999997	2.3	1.0
311.5168	1.457	FoodChoice	0.0066659999999999775	0.895961	0.11	0.11333299999999999	0.10666700000000001	0.0
317.5168	1.457	FoodChoice	2.853333	0.782968	1.5266665000000001	2.953333	0.1	1.0
322.0168	1.457	FoodChoice	0.0	0.6889569999999999	2.953333	2.953333	2.953333	0.0
328.5168	1.457	FoodChoice	-0.4466669999999997	1.136962	2.2566665	2.0333330000000003	2.48	1.0
333.0168	1.457	FoodChoice	0.0	0.6709609999999999	0.06	0.06	0.06	1.0
337.0168	1.457	FoodChoice	-0.6466669999999999	1.168958	2.6233334999999998	2.3	2.9466669999999997	1.0
341.5168	1.457	FoodChoice	0.0	0.895961	0.06	0.06	0.06	0.0
353.5167	1.457	FoodChoice	0.4466669999999997	0.9280360000000001	2.7033335	2.9266669999999997	2.48	1.0
360.0168	1.457	FoodChoice	0.03333300000000006	1.3429719999999998	1.0233335000000001	1.04	1.006667	1.0
364.0168	1.457	FoodChoice	-0.4733330000000002	0.986	2.7166665	2.48	2.953333	0.0
373.0168	1.457	FoodChoice	-0.26666699999999954	0.646961	2.1666665	2.0333330000000003	2.3	0.0
387.5168	1.457	FoodChoice	-0.013333000000000012	1.4309530000000001	0.0933335	0.086667	0.1	1.0
392.5168	1.457	FoodChoice	-0.0066669999999997565	1.044014	2.9366665000000003	2.933333	2.94	1.0
396.5168	1.457	FoodChoice	-2.873333	0.6680010000000001	1.4966665000000001	0.06	2.933333	0.0
401.0167	1.457	FoodChoice	0.0	0.5541050000000001	2.953333	2.953333	2.953333	1.0
407.0168	1.457	FoodChoice	-0.013333999999999999	0.735957	0.04	0.033333	0.046667	0.0
413.0168	1.457	FoodChoice	0.0	0.680968	2.953333	2.953333	2.953333	1.0
419.0168	1.457	FoodChoice	2.853333	0.722961	1.5133334999999999	2.94	0.086667	0.0
