onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016763	1.255	CorrectRejection	n/a	1.725	1	0	1.0
7.51685	1.255	CorrectRejection	n/a	1.6569999999999998	1	0	1.0
13.01683	1.255	FalseAlarm	n/a	1.2009999999999998	1	0	0.0
19.51667	1.255	CorrectRejection	n/a	1.334	1	0	1.0
24.51673	1.255	FalseAlarm	n/a	2.0180000000000002	1	0	0.0
29.01667	1.255	Hit	3.044444	2.44	1	1	0.0
33.016709999999996	1.255	CorrectRejection	n/a	1.358	1	0	1.0
40.516690000000004	1.255	CorrectRejection	n/a	1.186	1	0	1.0
53.51676	1.255	Hit	0.6444439999999999	1.6969999999999998	1	1	0.0
59.516780000000004	1.255	Hit	5.933333	1.155	1	1	0.0
63.51684	1.255	Hit	0.6888890000000001	1.547	1	1	0.0
67.51669	1.255	Miss	2.0	2.5269999999999997	1	1	1.0
71.51684	1.255	CorrectRejection	n/a	2.295	1	0	1.0
77.51674	1.255	Hit	2.5333330000000003	1.8259999999999998	1	1	0.0
83.01684	1.255	CorrectRejection	n/a	1.105	1	0	1.0
87.01675	1.255	Hit	0.42222200000000004	1.3330000000000002	1	1	0.0
92.01684	1.255	CorrectRejection	n/a	1.097	1	0	1.0
98.51677	1.255	Hit	7.511111	1.278	1	1	0.0
103.5167	1.255	CorrectRejection	n/a	1.143	1	0	1.0
113.5168	1.255	CorrectRejection	n/a	1.574	1	0	1.0
117.5168	1.255	Hit	7.733333	1.09	1	1	0.0
127.5168	1.255	CorrectRejection	n/a	1.755	1	0	1.0
133.0167	1.255	FalseAlarm	n/a	1.4409999999999998	1	0	0.0
137.5167	1.255	Hit	2.2444439999999997	0.982	1	1	0.0
146.0168	1.255	Hit	2.266667	0.948	1	1	0.0
153.0167	1.255	FalseAlarm	n/a	2.525	1	0	0.0
158.5168	1.255	Hit	2.4666669999999997	1.14	1	1	0.0
163.0168	1.255	Hit	7.488889	1.46	1	1	0.0
169.0168	1.255	Miss	2.2	1.278	1	1	1.0
173.5167	1.255	CorrectRejection	n/a	0.965	1	0	1.0
181.5167	1.255	Hit	6.355556	1.239	1	1	0.0
190.5167	1.255	FalseAlarm	n/a	1.7080000000000002	1	0	0.0
197.0168	1.255	CorrectRejection	n/a	1.023	1	0	1.0
207.0167	1.255	FalseAlarm	n/a	1.8659999999999999	1	0	0.0
213.5167	1.255	CorrectRejection	n/a	1.672	1	0	1.0
220.0167	1.255	CorrectRejection	n/a	1.253	1	0	1.0
224.5169	1.255	Hit	1.844444	1.13	1	1	0.0
228.5168	1.255	Hit	2.0	2.2969999999999997	1	1	0.0
232.5168	1.255	Hit	5.555556	1.069	1	1	0.0
240.0168	1.255	CorrectRejection	n/a	1.111	1	0	1.0
244.5168	1.255	Hit	4.3333330000000005	0.976	1	1	0.0
250.0168	1.255	CorrectRejection	n/a	0.882	1	0	1.0
254.0168	1.255	Miss	6.733333	1.08	1	1	1.0
260.5168	1.255	Miss	1.7555560000000001	1.6740000000000002	1	1	1.0
269.0167	1.255	Hit	7.044444	1.9340000000000002	1	1	0.0
273.0168	1.255	Hit	2.4666669999999997	1.5659999999999998	1	1	0.0
278.0168	1.255	Hit	2.2888889999999997	0.8170000000000001	1	1	0.0
283.5167	1.255	CorrectRejection	n/a	1.006	1	0	1.0
290.0168	1.255	FalseAlarm	n/a	1.22	1	0	0.0
296.0168	1.255	CorrectRejection	n/a	1.402	1	0	1.0
